"Institution","City","State","ZIP","Highest_Degree","Region","Longitude","Latitude","Type","HBCU","HSI","Religious","Adm_Rate","Med_ACT","Enrollment","P_White","P_Black","P_Hispanic","P_Asian","P_Female","P_Pell","Med_Grad_Debt","Avg_Fac_Salary","Ret_Rate","Med_Grad_Earnings_4Y"
"Alabama A & M University","Normal","AL","35762","Graduate","Southeast",-86.568502,34.783368,"Public","Yes","No","Yes",0.684,17,5196,0.0198,0.8955,0.011,0.0019,0.5945,0.6553,"31000",8651,0.5928,46562
"University of Alabama at Birmingham","Birmingham","AL","35294-0110","Graduate","Southeast",-86.799345,33.505697,"Public","No","No","Yes",0.8668,27,12776,0.513,0.2528,0.0711,0.0819,0.6248,0.3374,"22300",11837,0.8243,52404
"University of Alabama in Huntsville","Huntsville","AL","35899","Graduate","Southeast",-86.640449,34.724557,"Public","No","No","Yes",0.781,26,6985,0.7102,0.0873,0.0666,0.0389,0.4019,0.2235,"20705",10267,0.8018,67695
"Alabama State University","Montgomery","AL","36104-0271","Graduate","Southeast",-86.295677,32.364317,"Public","Yes","No","Yes",0.966,18,3296,0.0155,0.9251,0.0121,0.0015,0.6405,0.6984,"31000",8071,0.596,37551
"The University of Alabama","Tuscaloosa","AL","35487-0100","Graduate","Southeast",-87.545978,33.211875,"Public","No","No","Yes",0.8006,28,31360,0.7336,0.1072,0.0577,0.0146,0.5601,0.1843,"22750",10777,0.8668,54773
"Auburn University at Montgomery","Montgomery","AL","36117-3596","Graduate","Southeast",-86.177544,32.36736,"Public","No","No","Yes",0.9223,20,3307,0.4052,0.4584,0.0175,0.0287,0.6755,0.5011,"25000",8366,0.7016,47635
"Auburn University","Auburn","AL","36849","Graduate","Southeast",-85.488258,32.599378,"Public","No","No","Yes",0.4374,27,25234,0.8269,0.0425,0.0395,0.0279,0.5009,0.1261,"21000",11608,0.9261,58894
"Birmingham-Southern College","Birmingham","AL","35254","Bachelors","Southeast",-86.850552,33.513774,"Private_non_profit","No","No","No",0.5717,25,968,0.7397,0.1519,0.0558,0.0227,0.4752,0.2277,"25000",7029,0.7746,47147
"Faulkner University","Montgomery","AL","36109-3390","Graduate","Southeast",-86.21641,32.384181,"Private_non_profit","No","No","No",0.8241,19,1587,0.4461,0.4058,0.046,0.0113,0.5602,0.5172,"23000",6486,0.6316,43620
"Huntingdon College","Montgomery","AL","36106-2148","Bachelors","Southeast",-86.284366,32.351034,"Private_non_profit","No","No","No",0.6595,21,810,0.6691,0.1914,0.0568,0.0037,0.4407,0.3921,"27000",7476,0.648,46832
"Jacksonville State University","Jacksonville","AL","36265","Graduate","Southeast",-85.765321,33.822938,"Public","No","No","Yes",0.7846,20,7066,0.6134,0.2591,0.0018,0.0052,0.5971,0.506,"22189",7560,0.6566,45062
"University of West Alabama","Livingston","AL","35470","Graduate","Southeast",-88.186329,32.588132,"Public","No","No","Yes",0.6886,19,2424,0.4439,0.37,0.0297,0.0017,0.7009,0.4556,"24944",6914,0.691,47828
"University of Mobile","Mobile","AL","36613-2842","Graduate","Southeast",-88.128934,30.793247,"Private_non_profit","No","No","No",0.8408,25,1108,0.6363,0.1625,0.019,0.0135,0.6309,0.3827,"26500",5603,0.68,39684
"Samford University","Birmingham","AL","35229-2240","Graduate","Southeast",-86.791799,33.464128,"Private_non_profit","No","No","No",0.8326,26,3668,0.8506,0.0534,0.0409,0.0144,0.6775,0.1052,"19500",9179,0.9096,50526
"University of South Alabama","Mobile","AL","36688-0002","Graduate","Southeast",-88.178711,30.696033,"Public","No","No","Yes",0.6536,22,8171,0.6036,0.2224,0.0466,0.0405,0.6124,0.3943,"24929",7772,0.6878,47998
"Troy University","Troy","AL","36082-0001","Graduate","Southeast",-85.95802,31.799583,"Public","No","No","Yes",0.9484,20,10316,0.5303,0.3226,0.0457,0.0062,0.6466,0.4376,"25000",7183,0.7477,44329
"Tuskegee University","Tuskegee","AL","36088-1920","Graduate","Southeast",-85.708492,32.4309,"Private_non_profit","Yes","No","Yes",0.2969,21,2100,0.0062,0.909,0.0186,0.0033,0.6186,0.5776,"27000",7526,0.756,51778
"University of Arizona","Tucson","AZ","85721-0066","Graduate","Southwest",-110.950815,32.232672,"Public","No","Yes","Yes",0.8676,25,37979,0.4936,0.0414,0.2791,0.0526,0.5588,0.2848,"19620",11438,0.8564,54540
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720","Graduate","Southwest",-112.449741,34.616766,"Private_non_profit","No","No","Yes",0.68,27,3114,0.5768,0.0186,0.1506,0.061,0.2742,0.1791,"23666",9249,0.7823,79837
"University of Arkansas at Little Rock","Little Rock","AR","72204","Graduate","Southeast",-92.339778,34.723254,"Public","No","No","Yes",0.6146,21,4802,0.4933,0.2597,0.0344,0.0217,0.6343,0.4716,"22000",7801,0.7452,48762
"University of Arkansas","Fayetteville","AR","72701","Graduate","Southeast",-94.176981,36.070009,"Public","No","No","Yes",0.7893,24,26002,0.7421,0.0429,0.1068,0.028,0.5596,0.1842,"21500",10237,0.8558,55658
"University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","Graduate","Southeast",-92.018683,34.244031,"Public","Yes","No","Yes",0.6933,15,2155,0.026,0.9021,0.026,0.0028,0.5657,0.6727,"24202",6013,0.5891,36857
"Arkansas State University","Jonesboro","AR","72401","Graduate","Southeast",-90.679988,35.842388,"Public","No","No","Yes",0.6951,22,7463,0.6873,0.1443,0.0472,0.01,0.6235,0.3967,"20500",7516,0.7756,43701
"University of Central Arkansas","Conway","AR","72035-0001","Graduate","Southeast",-92.457672,35.077945,"Public","No","No","Yes",0.9121,22,7563,0.6508,0.1731,0.0673,0.0213,0.6175,0.3858,"20346",7312,0.7413,44604
"Central Baptist College","Conway","AR","72034","Bachelors","Southeast",-92.445021,35.083838,"Private_non_profit","No","No","No",0.6394,19,489,0.5971,0.1656,0.0982,0.0082,0.4294,0.4583,"22250",5826,0.6261,38728
"Harding University","Searcy","AR","72149-5615","Graduate","Southeast",-91.726143,35.247386,"Private_non_profit","No","No","No",0.4512,24,3198,0.7892,0.051,0.0453,0.0153,0.5575,0.2223,"26500",7650,0.8443,48137
"Henderson State University","Arkadelphia","AR","71999-0001","Graduate","Southeast",-93.059703,34.128155,"Public","No","No","Yes",0.7066,19,1800,0.6183,0.2222,0.0728,0.0183,0.5239,0.4526,"19500",6933,0.5718,39440
"Hendrix College","Conway","AR","72032-3080","Graduate","Southeast",-92.443256,35.101565,"Private_non_profit","No","No","No",0.6028,26,1127,0.6877,0.0745,0.0914,0.0319,0.5084,0.2543,"26688",7889,0.7905,40920
"John Brown University","Siloam Springs","AR","72761","Graduate","Southeast",-94.560283,36.189812,"Private_non_profit","No","No","Yes",0.5664,25,1354,0.7075,0.0133,0.0938,0.0199,0.5908,0.2996,"21250",7120,0.8445,46598
"Ouachita Baptist University","Arkadelphia","AR","71998-0001","Graduate","Southeast",-93.052471,34.126093,"Private_non_profit","No","No","No",0.7232,24,1587,0.8009,0.0643,0.0592,0.012,0.5753,0.2486,"21050",6735,0.7897,41568
"University of the Ozarks","Clarksville","AR","72830","Bachelors","Southeast",-93.467221,35.476278,"Private_non_profit","No","No","No",0.6008,21,767,0.4237,0.0626,0.1343,0.013,0.5202,0.3613,"20875",6847,0.6853,37145
"Williams Baptist University","Walnut Ridge","AR","72476","Graduate","Southeast",-90.940277,36.125676,"Private_non_profit","No","No","No",0.5931,20,556,0.804,0.0737,0.018,0.0018,0.5306,0.4295,"21820",5698,0.5789,35952
"Southern Arkansas University Main Campus","Magnolia","AR","71753","Graduate","Southeast",-93.235922,33.291618,"Public","No","No","Yes",0.6361,21,2787,0.6261,0.2257,0.0657,0.0068,0.5605,0.4819,"18750",7293,0.7054,42027
"Azusa Pacific University","Azusa","CA","91702-7000","Graduate","Pacific",-117.888375,34.130047,"Private_non_profit","No","Yes","No",0.87,25,3344,0.2793,0.0646,0.3765,0.134,0.6815,0.3993,"23219",9703,0.7788,56788
"Biola University","La Mirada","CA","90639-0001","Graduate","Pacific",-118.014374,33.906203,"Private_non_profit","No","No","No",0.5663,26,3474,0.4171,0.0285,0.2216,0.1422,0.6088,0.2623,"23875",9852,0.8432,49436
"California Lutheran University","Thousand Oaks","CA","91360-2787","Graduate","Pacific",-118.878924,34.224566,"Private_non_profit","No","Yes","No",0.8718,29,2510,0.3817,0.0462,0.4004,0.055,0.5382,0.3122,"21669",10491,0.8102,56633
"Chapman University","Orange","CA","92866","Graduate","Pacific",-117.852518,33.79302,"Private_non_profit","No","No","No",0.7252,29,7665,0.4933,0.0222,0.179,0.1614,0.6023,0.2003,"20500",12925,0.9129,58726
"Claremont McKenna College","Claremont","CA","91711-6400","Graduate","Pacific",-117.711188,34.102154,"Private_non_profit","No","No","Yes",0.1035,34,1383,0.3543,0.0593,0.1634,0.1555,0.5098,0.2008,"13500",15333,0.9579,82384
"Dominican University of California","San Rafael","CA","94901-2298","Graduate","Pacific",-122.512051,37.981279,"Private_non_profit","No","Yes","Yes",0.9318,25,1139,0.2529,0.0518,0.2792,0.3143,0.7226,0.288,"27000",9493,0.8525,77331
"Harvey Mudd College","Claremont","CA","91711","Bachelors","Pacific",-117.709837,34.106515,"Private_non_profit","No","No","Yes",0.1336,35,906,0.2528,0.0596,0.2097,0.2241,0.4945,0.1293,"25000",14478,0.9733,117259
"University of La Verne","La Verne","CA","91750-4401","Graduate","Pacific",-117.773262,34.100855,"Private_non_profit","No","Yes","Yes",0.7351,22,3363,0.1653,0.0758,0.623,0.0508,0.6054,0.4752,"23500",9825,0.769,55571
"Loyola Marymount University","Los Angeles","CA","90045-2659","Graduate","Pacific",-118.415744,33.97085,"Private_non_profit","No","No","No",0.4131,31,7138,0.4116,0.0709,0.2358,0.1004,0.5312,0.135,"19500",12799,0.8773,63128
"Occidental College","Los Angeles","CA","90041-3392","Bachelors","Pacific",-118.210908,34.127124,"Private_non_profit","No","No","Yes",0.394,32,1935,0.4884,0.0398,0.1664,0.1349,0.5891,0.1717,"23000",11782,0.8897,56725
"Pacific Union College","Angwin","CA","94508-9707","Graduate","Pacific",-122.440308,38.570585,"Private_non_profit","No","Yes","No",0.4846,20,772,0.2021,0.0635,0.2979,0.2539,0.6399,0.4055,"27500",6541,0.75,59086
"University of the Pacific","Stockton","CA","95211-0197","Graduate","Pacific",-121.312301,37.981424,"Private_non_profit","No","Yes","Yes",0.9323,29,3266,0.1849,0.0395,0.2563,0.3573,0.5401,0.3732,"19500",11341,0.8768,67245
"Pepperdine University","Malibu","CA","90263","Graduate","Pacific",-118.707077,34.037786,"Private_non_profit","No","No","No",0.4871,31,3656,0.4551,0.0391,0.1841,0.14,0.5848,0.1929,"23510",13499,0.8837,67867
"Pomona College","Claremont","CA","91711-6319","Bachelors","Pacific",-117.714556,34.099027,"Private_non_profit","No","No","Yes",0.0702,34,1699,0.3161,0.1006,0.1589,0.1736,0.5474,0.1852,"11782",14220,0.9623,55809
"University of Redlands","Redlands","CA","92373-0999","Graduate","Pacific",-117.163218,34.064218,"Private_non_profit","No","Yes","Yes",0.8187,28,2301,0.3768,0.0461,0.4224,0.0508,0.591,0.335,"26000",10637,0.7964,60467
"University of San Francisco","San Francisco","CA","94117-1080","Graduate","Pacific",-122.450477,37.776618,"Private_non_profit","No","No","No",0.7118,29,5980,0.2388,0.0773,0.2132,0.2602,0.6458,0.2838,"23000",13538,0.8093,74615
"Santa Clara University","Santa Clara","CA","95053","Graduate","Pacific",-121.93784,37.348362,"Private_non_profit","No","No","No",0.5211,31,6103,0.3983,0.0311,0.1847,0.2104,0.4834,0.1104,"19162",13933,0.9189,88962
"Scripps College","Claremont","CA","91711-3905","Graduate","Pacific",-117.711294,34.104147,"Private_non_profit","No","No","Yes",0.2791,33,1073,0.5405,0.0401,0.1295,0.1286,1,0.1118,"13500",11906,0.9051,60312
"University of Southern California","Los Angeles","CA","90089","Graduate","Pacific",-118.284169,34.021281,"Private_non_profit","No","No","Yes",0.1202,34,20505,0.2992,0.0646,0.175,0.2456,0.5212,0.2191,"18000",16526,0.9655,77241
"Thomas Aquinas College","Santa Paula","CA","93060","Bachelors","Pacific",-119.087141,34.429009,"Private_non_profit","No","No","No",0.8473,30,516,0.6202,0,0.1977,0.0194,0.5155,0.2072,"18000",9803,0.916,40972
"Westmont College","Santa Barbara","CA","93108-1089","Bachelors","Pacific",-119.662517,34.450151,"Private_non_profit","No","No","No",0.8199,31,1284,0.5226,0.0202,0.2313,0.0693,0.6114,0.1898,"23250",10155,0.861,51556
"Whittier College","Whittier","CA","90601","Graduate","Pacific",-118.032299,33.978773,"Private_non_profit","No","Yes","Yes",0.7545,26,1124,0.2625,0.0489,0.444,0.0676,0.5543,0.3424,"24937",8676,0.696,49231
"Adams State University","Alamosa","CO","81101","Graduate","Mountain",-105.879642,37.473636,"Public","No","Yes","Yes",0.9918,22,1307,0.3718,0.0903,0.3749,0.0122,0.4331,0.455,"19500",6799,0.568,42261
"University of Colorado Denver/Anschutz Medical Campus","Denver","CO","80217-3364","Graduate","Mountain",-104.837722,39.745149,"Public","No","Yes","Yes",0.7458,24,10922,0.4102,0.062,0.2629,0.1046,0.5618,0.3374,"20500",9457,0.6976,59928
"University of Colorado Colorado Springs","Colorado Springs","CO","80918","Graduate","Mountain",-104.800296,38.892735,"Public","No","No","Yes",0.8477,24,9102,0.5711,0.0449,0.1953,0.0385,0.5399,0.2935,"20000",6638,0.6679,51788
"University of Colorado Boulder","Boulder","CO","80309-0017","Graduate","Mountain",-105.270823,40.008781,"Public","No","No","Yes",0.8073,29,30598,0.6831,0.0175,0.1304,0.0619,0.4598,0.1456,"19500",12587,0.8778,60811
"Colorado College","Colorado Springs","CO","80903","Graduate","Mountain",-104.822697,38.84886,"Private_non_profit","No","No","Yes",0.163,32,2174,0.6688,0.0299,0.1099,0.0455,0.5547,0.1397,"18257",11843,0.9144,43901
"Colorado School of Mines","Golden","CO","80401","Graduate","Mountain",-105.223364,39.751443,"Public","No","No","Yes",0.58,31,5662,0.6948,0.0115,0.1235,0.0578,0.3207,0.1348,"23000",13173,0.9362,87594
"Colorado State University-Fort Collins","Fort Collins","CO","80523-0100","Graduate","Mountain",-105.080732,40.574805,"Public","No","No","Yes",0.9077,26,25150,0.7071,0.0223,0.156,0.0289,0.5448,0.2177,"20000",11238,0.8622,52859
"University of Denver","Denver","CO","80208","Graduate","Mountain",-104.963259,39.678005,"Private_non_profit","No","No","Yes",0.7768,30,5986,0.6853,0.0251,0.133,0.0403,0.554,0.1538,"21844",11739,0.88,63433
"Fort Lewis College","Durango","CO","81301-3999","Graduate","Mountain",-107.867422,37.275939,"Public","No","No","Yes",0.9098,22,3113,0.3958,0.0106,0.1404,0.0058,0.5422,0.3969,"18389",7761,0.5947,39300
"Colorado Mesa University","Grand Junction","CO","81501-3122","Graduate","Mountain",-108.553275,39.080643,"Public","No","No","Yes",0.8176,22,7654,0.6577,0.0188,0.2136,0.0153,0.534,0.3312,"22000",7275,0.7599,46879
"Metropolitan State University of Denver","Denver","CO","80217-3362","Graduate","Mountain",-105.00504,39.744202,"Public","No","Yes","Yes",0.9791,20,14947,0.4438,0.073,0.3548,0.0462,0.5532,0.3493,"21500",7194,0.628,49884
"University of Northern Colorado","Greeley","CO","80639","Graduate","Mountain",-104.692777,40.410855,"Public","No","Yes","Yes",0.7854,24,6024,0.6116,0.0443,0.2533,0.0214,0.6673,0.2921,"20470",8284,0.7518,45414
"Regis University","Denver","CO","80221-1099","Graduate","Mountain",-105.030756,39.788175,"Private_non_profit","No","Yes","No",0.7609,25,2239,0.498,0.0509,0.2957,0.063,0.653,0.2573,"25000",8234,0.7248,66230
"Colorado State University Pueblo","Pueblo","CO","81001-4901","Graduate","Mountain",-104.579033,38.30859,"Public","No","Yes","Yes",0.9879,21,3008,0.4438,0.0622,0.3467,0.0203,0.5266,0.4321,"21500",7134,0.6241,47337
"Western Colorado University","Gunnison","CO","81231","Graduate","Mountain",-106.919132,38.549936,"Public","No","No","Yes",0.9185,25,1673,0.7047,0.0341,0.1201,0.0126,0.4184,0.2659,"20250",7081,0.767,41847
"Central Connecticut State University","New Britain","CT","06050","Graduate","New_England",-72.765991,41.692502,"Public","No","No","Yes",0.7671,22,7500,0.5621,0.1315,0.1796,0.0529,0.4545,0.3641,"22300",10384,0.7653,55034
"Connecticut College","New London","CT","06320-4196","Bachelors","New_England",-72.107321,41.379833,"Private_non_profit","No","No","Yes",0.404,32,1915,0.6742,0.0439,0.117,0.0334,0.6151,0.1613,"23500",9804,0.872,54137
"University of Connecticut","Storrs","CT","06269","Graduate","New_England",-72.249948,41.809098,"Public","No","Yes","Yes",0.5451,31,18768,0.5131,0.0696,0.1506,0.1313,0.5286,0.2433,"21500",13573,0.9095,65432
"Eastern Connecticut State University","Willimantic","CT","06226","Graduate","New_England",-72.218753,41.721673,"Public","No","No","Yes",0.7383,20,3534,0.652,0.0891,0.1296,0.0269,0.5866,0.3231,"24250",10202,0.8321,48137
"Fairfield University","Fairfield","CT","06824-5195","Graduate","New_England",-73.255903,41.157673,"Private_non_profit","No","No","No",0.5218,30,4706,0.8094,0.0115,0.0661,0.0208,0.5799,0.0745,"26000",12734,0.9108,76721
"University of Hartford","West Hartford","CT","06117-1599","Graduate","New_England",-72.715213,41.798591,"Private_non_profit","No","No","Yes",0.8275,27,3876,0.5041,0.1705,0.154,0.0431,0.5611,0.2899,"27000",8170,0.7438,55797
"Quinnipiac University","Hamden","CT","06518","Graduate","New_England",-72.894117,41.418915,"Private_non_profit","No","No","Yes",0.8379,26,6021,0.7427,0.0437,0.1051,0.0382,0.6153,0.1517,"26000",11363,0.878,68252
"Trinity College","Hartford","CT","06106-3100","Graduate","New_England",-72.690882,41.747451,"Private_non_profit","No","No","Yes",0.3614,31,2141,0.6095,0.0612,0.0859,0.042,0.5142,0.1331,"23000",10943,0.9002,69841
"Wesleyan University","Middletown","CT","06459","Graduate","New_England",-72.657146,41.554665,"Private_non_profit","No","No","Yes",0.1443,32,3006,0.5442,0.0549,0.1058,0.0902,0.5373,0.1516,"17000",13221,0.9538,58985
"Western Connecticut State University","Danbury","CT","06810-6826","Graduate","New_England",-73.444264,41.400365,"Public","No","Yes","Yes",0.8351,25,3679,0.5216,0.0881,0.2721,0.0478,0.5154,0.3426,"24147",10756,0.745,51305
"Yale University","New Haven","CT","06520","Graduate","New_England",-72.926688,41.311158,"Private_non_profit","No","No","Yes",0.0457,35,6639,0.3514,0.083,0.1481,0.2238,0.5102,0.1878,"12975",21343,0.981,85476
"Delaware State University","Dover","DE","19901","Graduate","Mid_Atlantic",-75.54053,39.187173,"Public","Yes","No","Yes",0.5492,22,4588,0.0811,0.714,0.0732,0.0076,0.6565,0.4816,"26000",8207,0.7514,46153
"University of Delaware","Newark","DE","19716","Graduate","Mid_Atlantic",-75.752822,39.679577,"Public","No","No","Yes",0.7381,29,18665,0.6845,0.0642,0.0971,0.0559,0.5875,0.1622,"24572",13734,0.9093,65354
"American University","Washington","DC","20016-8001","Graduate","Mid_Atlantic",-77.088875,38.936005,"Private_non_profit","No","No","No",0.4063,31,7669,0.5598,0.076,0.1213,0.0674,0.6417,0.1293,"22750",12842,0.8625,62439
"Gallaudet University","Washington","DC","20002-3695","Graduate","Mid_Atlantic",-76.993675,38.907371,"Private_non_profit","No","No","Yes",0.5921,16,910,0.4187,0.1747,0.2176,0.0505,0.522,0.5676,"18000",10533,0.7285,39877
"George Washington University","Washington","DC","20052","Graduate","Mid_Atlantic",-77.048363,38.89923,"Private_non_profit","No","No","Yes",0.4898,32,10798,0.498,0.0771,0.1301,0.1355,0.6288,0.1546,"20449",15557,0.8957,77757
"Georgetown University","Washington","DC","20057-0001","Graduate","Mid_Atlantic",-77.073463,38.908809,"Private_non_profit","No","No","No",0.1223,34,7343,0.5017,0.0511,0.0716,0.1419,0.5799,0.1193,"15500",16570,0.9658,88039
"Howard University","Washington","DC","20059","Graduate","Mid_Atlantic",-77.018966,38.922392,"Private_non_profit","Yes","No","Yes",0.5343,23,9243,0.0031,0.6851,0.0649,0.0356,0.7239,0.408,"24500",11374,0.8817,55757
"Bethune-Cookman University","Daytona Beach","FL","32114-3099","Graduate","Southeast",-81.032946,29.207195,"Private_non_profit","Yes","No","No",0.8497,16,2628,0.0068,0.804,0.0582,4e-04,0.6305,0.7632,"31000",6832,0.5136,39183
"Lynn University","Boca Raton","FL","33431-5598","Graduate","Southeast",-80.122806,26.385985,"Private_non_profit","No","No","Yes",0.8011,24,2789,0.4873,0.1008,0.1972,0.0169,0.5109,0.2523,"17940",5981,0.7404,47200
"University of Central Florida","Orlando","FL","32816","Graduate","Southeast",-81.200889,28.602159,"Public","No","Yes","Yes",0.4104,27,57874,0.4474,0.0981,0.3011,0.0737,0.5496,0.3449,"18190",11135,0.9299,49979
"Eckerd College","Saint Petersburg","FL","33711-4700","Bachelors","Southeast",-82.687043,27.715798,"Private_non_profit","No","No","No",0.6509,26,1986,0.7618,0.0247,0.0916,0.0206,0.7009,0.2034,"27000",7551,0.7686,41504
"Embry-Riddle Aeronautical University-Daytona Beach","Daytona Beach","FL","32114-3900","Graduate","Southeast",-81.048367,29.189903,"Private_non_profit","No","No","Yes",0.6453,26,7155,0.5755,0.0492,0.15,0.0488,0.2523,0.2197,"23666",10362,0.818,79837
"Florida Agricultural and Mechanical University","Tallahassee","FL","32307","Graduate","Southeast",-84.290226,30.428504,"Public","Yes","No","Yes",0.3293,21,7436,0.028,0.9013,0.0464,0.0034,0.6646,0.5782,"23548",8540,0.8982,42294
"Florida Atlantic University","Boca Raton","FL","33431-0991","Graduate","Southeast",-80.102978,26.372421,"Public","No","Yes","Yes",0.8132,22,23074,0.4039,0.1869,0.2895,0.0392,0.5775,0.3776,"17236",10231,0.8088,49413
"Flagler College","Saint Augustine","FL","32084","Graduate","Southeast",-81.314887,29.892733,"Private_non_profit","No","No","Yes",0.8095,25,2591,0.7267,0.0336,0.1235,0.0104,0.6835,0.3004,"24250",7711,0.6927,42847
"Florida Institute of Technology","Melbourne","FL","32901-6975","Graduate","Southeast",-80.622893,28.065815,"Private_non_profit","No","No","Yes",0.6437,25,3114,0.5453,0.0491,0.1416,0.0177,0.3173,0.2203,"27000",10635,0.7544,70680
"Florida International University","Miami","FL","33199","Graduate","Southeast",-80.373928,25.75732,"Public","No","Yes","Yes",0.6386,24,39277,0.0915,0.1158,0.6685,0.026,0.5623,0.6146,"16500",10604,0.9056,52215
"Florida Southern College","Lakeland","FL","33801-5698","Graduate","Southeast",-81.948203,28.032443,"Private_non_profit","No","No","No",0.5661,26,2702,0.6884,0.0607,0.1484,0.0252,0.6273,0.2744,"25000",8888,0.774,47132
"Florida State University","Tallahassee","FL","32306-1037","Graduate","Southeast",-84.295064,30.443147,"Public","No","No","Yes",0.2504,29,32691,0.5831,0.0779,0.2304,0.0343,0.5717,0.2843,"18000",12077,0.9393,52382
"University of Florida","Gainesville","FL","32611","Graduate","Southeast",-82.347911,29.64629,"Public","No","No","Yes",0.2335,31,33673,0.5078,0.0505,0.2407,0.112,0.5626,0.2267,"15000",12651,0.9657,62503
"Jacksonville University","Jacksonville","FL","32211-3394","Graduate","Southeast",-81.60458,30.353227,"Private_non_profit","No","No","Yes",0.5769,24,2541,0.5081,0.1739,0.1484,0.0244,0.6198,0.0967,"22000",8135,0.6349,68099
"University of Miami","Coral Gables","FL","33146","Graduate","Southeast",-80.278662,25.72126,"Private_non_profit","No","No","Yes",0.1894,32,12215,0.4679,0.0899,0.2354,0.0451,0.5325,0.1629,"17500",14083,0.921,61350
"University of North Florida","Jacksonville","FL","32224-7699","Graduate","Southeast",-81.509144,30.27194,"Public","No","No","Yes",0.705,21,13866,0.5834,0.1152,0.1588,0.0589,0.5723,0.3116,"15531",8618,0.8009,48725
"Nova Southeastern University","Fort Lauderdale","FL","33314-7796","Graduate","Southeast",-80.24248,26.079337,"Private_non_profit","No","Yes","Yes",0.758,23,6885,0.2681,0.1468,0.3441,0.1197,0.7216,0.3931,"24250",10878,0.7759,61375
"Palm Beach Atlantic University","West Palm Beach","FL","33401","Graduate","Southeast",-80.05247,26.7044,"Private_non_profit","No","No","No",0.9466,23,2396,0.5897,0.0868,0.1807,0.0184,0.6569,0.3156,"22500",8683,0.761,44216
"Rollins College","Winter Park","FL","32789-4499","Graduate","Southeast",-81.349239,28.592787,"Private_non_profit","No","No","Yes",0.4999,27,2567,0.5836,0.058,0.171,0.0343,0.5964,0.24,"25500",9811,0.8579,49331
"Saint Leo University","Saint Leo","FL","33574-6665","Graduate","Southeast",-82.257801,28.336776,"Private_non_profit","No","No","No",0.801,23,6717,0.2922,0.2013,0.1711,0.0122,0.6107,0.4563,"25278",8507,0.5445,49363
"University of South Florida","Tampa","FL","33620-9951","Graduate","Southeast",-82.413232,28.061458,"Public","No","No","Yes",0.4393,26,36763,0.4551,0.0803,0.2248,0.0831,0.5667,0.327,"17988",10835,0.8957,49819
"Stetson University","DeLand","FL","32723","Graduate","Southeast",-81.300746,29.035475,"Private_non_profit","No","No","Yes",0.938,26,2517,0.5256,0.1172,0.1971,0.0179,0.5677,0.3627,"23250",10402,0.675,46611
"Trinity Baptist College","Jacksonville","FL","32221","Graduate","Southeast",-81.79626,30.311171,"Private_non_profit","No","No","No",0.4959,18,319,0.6583,0.185,0.0972,0.0063,0.4326,0.6041,"24250",3915,0.5068,29698
"Warner University","Lake Wales","FL","33859-8797","Graduate","Southeast",-81.599972,27.825751,"Private_non_profit","No","No","No",0.551,18,738,0.3875,0.3415,0.1924,0.0054,0.4729,0.5532,"22250",5582,0.4578,41068
"The University of West Florida","Pensacola","FL","32514-5750","Graduate","Southeast",-87.218511,30.549076,"Public","No","No","Yes",0.4803,24,8806,0.6229,0.1008,0.1092,0.034,0.5818,0.3513,"16624",9178,0.8507,44264
"Abraham Baldwin Agricultural College","Tifton","GA","31793-2601","Bachelors","Southeast",-83.528281,31.481889,"Public","No","No","Yes",0.6696,18,3160,0.7949,0.0842,0.0858,0.0085,0.5877,0.4204,"16750",7036,0.6285,42179
"Agnes Scott College","Decatur","GA","30030-3770","Graduate","Southeast",-84.295459,33.769268,"Private_non_profit","No","No","No",0.6652,28,923,0.3705,0.3164,0.1441,0.0574,1,0.4097,"26749",9271,0.7907,39282
"Point University","West Point","GA","31833","Graduate","Southeast",-85.184931,32.87912,"Private_non_profit","No","No","No",0.242,21,1041,0.4976,0.2286,0.0922,0.0048,0.5053,0.6695,"25250",5965,0.6923,35840
"Clark Atlanta University","Atlanta","GA","30314-4391","Graduate","Southeast",-84.412584,33.747628,"Private_non_profit","Yes","No","No",0.5626,18,3419,0.0041,0.5949,0.0015,6e-04,0.7643,0.6863,"27000",7797,0.7076,39042
"Berry College","Mount Berry","GA","30149","Graduate","Southeast",-85.189202,34.290414,"Private_non_profit","No","No","Yes",0.6631,25,2232,0.7267,0.0811,0.103,0.0291,0.6308,0.2535,"23250",8883,0.8313,43052
"College of Coastal Georgia","Brunswick","GA","31520-3644","Bachelors","Southeast",-81.486169,31.181983,"Public","No","No","Yes",0.9833,17,2812,0.5928,0.2048,0.0797,0.0174,0.7034,0.4495,"15039",7883,0.581,43223
"Clayton  State University","Morrow","GA","30260-0285","Graduate","Southeast",-84.328174,33.594079,"Public","No","No","Yes",0.5632,18,4540,0.1077,0.6526,0.1112,0.0573,0.6982,0.6133,"25706",8151,0.5978,47337
"Columbus State University","Columbus","GA","31907-5645","Graduate","Southeast",-84.94106,32.50096,"Public","No","No","Yes",0.878,19,5637,0.4213,0.3912,0.085,0.0277,0.5831,0.4647,"26000",8166,0.6526,45795
"Covenant College","Lookout Mountain","GA","30750-4164","Graduate","Southeast",-85.375066,34.965161,"Private_non_profit","No","No","No",0.8413,29,808,0.8738,0.0124,0.005,0.0297,0.5272,0.2107,"22500",8009,0.768,37126
