Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,ID
Tyler Heineman#,31,TOT,MLB,62,174,157,16,34,8,0,0,9,1,0,8,17,0.217,0.276,0.268,0.544,heinety01
Tyler Heineman#,31,TOR,AL,10,16,15,2,4,2,0,0,1,0,0,0,4,0.267,0.267,0.4,0.667,heinety01
Tyler Heineman#,31,PIT,NL,52,158,142,14,30,6,0,0,8,1,0,8,13,0.211,0.277,0.254,0.531,heinety01
Gunnar Henderson*,21,BAL,AL,34,132,116,12,30,7,1,4,18,1,1,16,34,0.259,0.348,0.44,0.788,hendegu01
Liam Hendriks,33,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hendrli01
Ryan Hendrix,27,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hendrry01
Payton Henry,25,MIA,NL,15,35,28,2,4,0,0,0,4,0,0,5,8,0.143,0.314,0.143,0.457,henrypa01
David Hensley,26,HOU,AL,16,34,29,7,10,2,1,1,5,0,0,5,6,0.345,0.441,0.586,1.027,henslda01
Guillermo Heredia,31,ATL,NL,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.22,0.342,0.562,heredgu01
Michael Hermosillo,27,CHC,NL,31,73,61,7,7,2,0,0,4,1,0,7,27,0.115,0.25,0.148,0.398,hermomi01
Carlos Hernandez,25,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hernaca04
Cesar Hernandez#,32,WSN,NL,147,617,560,64,139,28,4,1,34,10,4,45,114,0.248,0.311,0.318,0.629,hernace02
Elier Hernandez,27,TEX,AL,14,35,33,4,6,2,0,0,3,0,0,1,15,0.182,0.2,0.242,0.442,hernael02
Enrique Hernandez,30,BOS,AL,93,402,361,48,80,24,0,6,45,0,2,34,71,0.222,0.291,0.338,0.629,hernaen02
Teoscar Hernandez,29,TOR,AL,131,535,499,71,133,35,1,25,77,6,3,34,152,0.267,0.316,0.491,0.807,hernate01
Yadiel Hernández*,34,WSN,NL,94,327,305,30,82,16,0,9,41,2,1,19,74,0.269,0.312,0.41,0.722,hernaya01
Yonny Hernandez#,24,ARI,NL,12,28,24,2,2,0,0,0,0,2,0,2,4,0.083,0.154,0.083,0.237,hernayo02
Ivan Herrera,22,STL,NL,11,22,18,0,2,0,0,0,1,0,0,2,8,0.111,0.19,0.111,0.302,herreiv01
Jose Herrera#,25,ARI,NL,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.25,0.207,0.457,herrejo04
Odubel Herrera*,30,PHI,NL,62,197,185,23,44,9,1,5,21,6,0,11,42,0.238,0.279,0.378,0.658,herreod01
Jason Heyward*,32,CHC,NL,48,151,137,15,28,5,1,1,10,1,0,11,32,0.204,0.278,0.277,0.556,heywaja01
Brewer Hicklen,26,KCR,AL,6,4,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hicklbr01
Aaron Hicks#,32,NYY,AL,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,hicksaa01
Kyle Higashioka,32,NYY,AL,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,higasky01
P.J. Higgins,29,CHC,NL,74,229,201,23,46,11,1,6,30,0,0,22,58,0.229,0.31,0.383,0.693,higgipj01
Derek Hill,26,DET,AL,31,92,83,8,19,2,0,1,3,3,0,5,28,0.229,0.27,0.289,0.559,hillde01
Sam Hilliard*,28,COL,NL,70,200,174,26,32,6,1,2,14,5,1,23,57,0.184,0.28,0.264,0.544,hillisa01
Keston Hiura,25,MIL,NL,80,266,234,34,53,8,1,14,32,5,2,23,111,0.226,0.316,0.449,0.765,hiurake01
Nico Hoerner,25,CHC,NL,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,hoernni01
Jeff Hoffman,29,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hoffmje02
Rhys Hoskins,29,PHI,NL,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,hoskirh01
Eric Hosmer*,32,TOT,MLB,104,419,380,38,102,19,0,8,44,0,0,37,64,0.268,0.334,0.382,0.716,hosmeer01
Eric Hosmer*,32,SDP,NL,90,369,335,32,91,16,0,8,40,0,0,33,55,0.272,0.336,0.391,0.727,hosmeer01
Eric Hosmer*,32,BOS,AL,14,50,45,6,11,3,0,0,4,0,0,4,9,0.244,0.32,0.311,0.631,hosmeer01
Sam Huff,24,TEX,AL,44,132,121,9,29,4,0,4,10,1,0,11,42,0.24,0.303,0.372,0.675,huffsa01
Brandon Hughes#,26,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hughebr01
Cooper Hummel#,27,ARI,NL,66,201,176,20,31,8,3,3,17,4,1,23,64,0.176,0.274,0.307,0.58,hummeco01
Tommy Hunter,35,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hunteto02
Andy Ibáñez,29,TEX,AL,40,128,119,13,26,4,0,1,9,3,0,9,21,0.218,0.273,0.277,0.551,ibanean01
José Iglesias,32,COL,NL,118,467,439,48,128,30,0,3,47,2,3,17,56,0.292,0.328,0.38,0.708,iglesjo01
Ender Inciarte*,31,NYM,NL,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,inciaen01
Jonathan India,25,CIN,NL,103,431,386,48,96,16,2,10,41,3,4,31,94,0.249,0.327,0.378,0.705,indiajo01
Kyle Isbel*,25,KCR,AL,106,278,256,32,54,10,4,5,28,9,6,16,75,0.211,0.264,0.34,0.603,isbelky01
Alex Jackson,26,MIL,NL,5,12,12,0,3,0,0,0,0,0,0,0,7,0.25,0.25,0.25,0.5,jacksal02
Drew Jackson,28,OAK,AL,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jacksdr01
Travis Jankowski*,31,TOT,MLB,44,64,55,11,9,0,0,0,2,3,0,8,10,0.164,0.281,0.164,0.445,jankotr01
Travis Jankowski*,31,NYM,NL,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167,0.452,jankotr01
Travis Jankowski*,31,SEA,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jankotr01
Danny Jansen,27,TOR,AL,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,janseda01
Ryan Jeffers,25,MIN,AL,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363,0.648,jeffery01
Eloy Jiménez,25,CHW,AL,84,327,292,40,86,12,0,16,54,0,0,28,72,0.295,0.358,0.5,0.858,jimenel02
Connor Joe,29,COL,NL,111,467,404,56,96,20,4,7,28,6,2,55,97,0.238,0.338,0.359,0.697,joeco01
Bryce Johnson#,26,SFG,NL,11,19,18,1,2,0,0,0,2,0,0,1,7,0.111,0.158,0.111,0.269,johnsbr03
Nolan Jones*,24,CLE,AL,28,94,86,10,21,5,0,2,13,0,0,8,31,0.244,0.309,0.372,0.681,jonesno01
Taylor Jones,28,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jonesta01
Aaron Judge,30,NYY,AL,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,judgeaa01
Josh Jung,24,TEX,AL,26,102,98,9,20,4,1,5,14,2,0,4,39,0.204,0.235,0.418,0.654,jungjo01
James Kaprielian,28,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,kaprija01
Gosuke Katoh*,27,TOR,AL,8,11,7,2,1,1,0,0,0,0,0,3,1,0.143,0.4,0.286,0.686,katohgo01
Jarred Kelenic*,22,SEA,AL,54,181,163,20,23,5,1,7,17,5,2,16,61,0.141,0.221,0.313,0.534,kelenja01
Carson Kelly,27,ARI,NL,104,354,317,40,67,18,0,7,35,2,0,29,71,0.211,0.282,0.334,0.617,kellyca02
Tony Kemp*,30,OAK,AL,147,558,497,61,117,24,2,7,46,11,1,45,69,0.235,0.307,0.334,0.641,kempto01
Buddy Kennedy,23,ARI,NL,30,94,83,10,18,2,2,1,12,0,0,8,23,0.217,0.287,0.325,0.613,kennebu01
Ian Kennedy,37,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,kenneia01
Max Kepler*,29,MIN,AL,115,446,388,54,88,18,1,9,43,3,2,49,66,0.227,0.318,0.348,0.666,keplema01
Kevin Kiermaier*,32,TBR,AL,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,kiermke01
Ha-Seong Kim,26,SDP,NL,150,582,517,58,130,29,3,11,59,12,2,51,100,0.251,0.325,0.383,0.708,kimha01
Craig Kimbrel,34,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,kimbrcr01
Isiah Kiner-Falefa,27,NYY,AL,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,kineris01
Scott Kingery,28,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,kingesc01
Alex Kirilloff*,24,MIN,AL,45,156,144,14,36,7,0,3,21,0,0,5,36,0.25,0.29,0.361,0.651,kirilal01
Alejandro Kirk,23,TOR,AL,139,541,470,59,134,19,0,14,63,0,0,63,58,0.285,0.372,0.415,0.786,kirkal01
Andrew Knapp#,30,TOT,MLB,16,46,39,4,5,1,0,0,4,0,0,5,12,0.128,0.239,0.154,0.393,knappan01
Andrew Knapp#,30,TOT,NL,14,42,35,4,5,1,0,0,4,0,0,5,9,0.143,0.262,0.171,0.433,knappan01
Andrew Knapp#,30,PIT,NL,11,35,31,2,4,1,0,0,2,0,0,3,9,0.129,0.229,0.161,0.39,knappan01
Andrew Knapp#,30,SEA,AL,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knappan01
Andrew Knapp#,30,SFG,NL,3,7,4,2,1,0,0,0,2,0,0,2,0,0.25,0.429,0.25,0.679,knappan01
Andrew Knizner,27,STL,NL,96,293,260,28,56,10,0,4,25,0,1,26,62,0.215,0.301,0.3,0.601,kniznan01
Mark Kolozsvary,26,CIN,NL,10,21,20,3,4,2,0,1,3,0,0,1,9,0.2,0.238,0.45,0.688,kolozma01
Joey Krehbiel,29,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,krehbjo01
Ryan Kreidler,24,DET,AL,26,84,73,8,13,1,0,1,6,0,1,6,22,0.178,0.244,0.233,0.477,kreidry01
Jason Krizan*,33,SFG,NL,3,10,8,0,1,0,0,0,0,0,0,2,3,0.125,0.3,0.125,0.425,krizaja01
Joel Kuhnel,27,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,kuhnejo01
Steven Kwan*,24,CLE,AL,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,kwanst01
Tommy La Stella*,33,SFG,NL,60,195,180,17,43,14,0,2,14,0,0,11,30,0.239,0.282,0.35,0.632,lasteto01
Juan Lagares,33,LAA,AL,20,62,60,4,11,2,1,0,0,0,0,2,15,0.183,0.21,0.25,0.46,lagarju01
Jake Lamb*,31,TOT,MLB,41,111,97,13,21,6,1,3,6,0,1,11,38,0.216,0.315,0.392,0.707,lambja01
Jake Lamb*,31,LAD,NL,25,77,67,10,16,5,1,2,4,0,1,8,24,0.239,0.338,0.433,0.77,lambja01
Jake Lamb*,31,SEA,AL,16,34,30,3,5,1,0,1,2,0,0,3,14,0.167,0.265,0.3,0.565,lambja01
Jimmy Lambert,27,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lambeji01
Shea Langeliers,24,OAK,AL,40,153,142,14,31,10,1,6,22,0,0,9,53,0.218,0.261,0.43,0.691,langesh01
Trevor Larnach*,25,MIN,AL,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,larnatr01
Jack Larsen*,27,SEA,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,larseja01
Ramon Laureano,27,OAK,AL,94,383,346,49,73,18,0,13,34,11,6,25,104,0.211,0.287,0.376,0.663,laurera01
Bryan Lavastida,23,CLE,AL,6,15,12,0,1,0,0,0,0,0,0,3,4,0.083,0.267,0.083,0.35,lavasbr01
Charles Leblanc,26,MIA,NL,48,169,156,18,41,10,0,4,11,4,2,12,53,0.263,0.32,0.404,0.723,leblach01
Khalil Lee*,24,NYM,NL,2,2,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2,2.5,leekh01
Korey Lee,23,HOU,AL,12,26,25,1,4,2,0,0,4,0,0,1,9,0.16,0.192,0.24,0.432,leeko01
DJ LeMahieu,33,NYY,AL,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,lemahdj01
Sandy Leon#,33,TOT,AL,33,86,71,6,12,3,0,0,4,0,0,13,27,0.169,0.298,0.211,0.509,leonsa01
Sandy Leon#,33,CLE,AL,8,21,15,0,2,0,0,0,0,0,0,6,4,0.133,0.381,0.133,0.514,leonsa01
Sandy Leon#,33,MIN,AL,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.27,0.232,0.502,leonsa01
Josh Lester*,27,DET,AL,2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lestejo02
Kyle Lewis,26,SEA,AL,18,62,56,6,8,0,0,3,5,0,0,5,19,0.143,0.226,0.304,0.529,lewisky01
Royce Lewis,23,MIN,AL,12,41,40,5,12,4,0,2,5,0,0,1,5,0.3,0.317,0.55,0.867,lewisro02
Luis Liberato*,26,SDP,NL,7,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,liberlu01
Matthew Liberatore*,22,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,liberma01
Francisco Lindor#,28,NYM,NL,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,lindofr01
Jonathan Loaisiga,27,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,loaisjo01
Tim Locastro,29,NYY,AL,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,locasti01
Evan Longoria,36,SFG,NL,89,298,266,31,65,13,0,14,42,0,0,27,83,0.244,0.315,0.451,0.767,longoev01
Christian Lopes,29,OAK,AL,4,10,9,0,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,lopesch01
Alejo Lopez#,26,CIN,NL,59,156,145,15,38,5,1,1,10,3,1,9,21,0.262,0.314,0.331,0.645,lopezal03
Jorge Lopez,29,TOT,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lopezjo02
Jorge Lopez,29,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lopezjo02
Jorge Lopez,29,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lopezjo02
Nicky Lopez*,27,KCR,AL,141,480,436,51,99,12,4,0,20,13,3,29,63,0.227,0.281,0.273,0.554,lopezni01
Otto Lopez,23,TOR,AL,8,10,9,0,6,0,0,0,3,0,1,1,1,0.667,0.7,0.667,1.367,lopezot01
Reynaldo Lopez,28,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lopezre01
Brandon Lowe*,27,TBR,AL,65,266,235,31,52,10,2,8,25,1,0,27,61,0.221,0.308,0.383,0.691,lowebr01
Josh Lowe*,24,TBR,AL,52,198,181,24,40,12,2,2,13,3,0,15,66,0.221,0.284,0.343,0.627,lowejo01
Nathaniel Lowe*,26,TEX,AL,157,645,593,74,179,26,3,27,76,2,2,48,147,0.302,0.358,0.492,0.851,lowena01
Jed Lowrie#,38,OAK,AL,50,184,167,14,30,5,0,3,16,1,0,15,39,0.18,0.245,0.263,0.508,lowrije01
Seth Lugo,32,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lugose01
Jordan Luplow,28,ARI,NL,83,234,205,26,36,5,0,11,28,5,1,25,60,0.176,0.274,0.361,0.634,luplojo01
Gavin Lux*,24,LAD,NL,129,471,421,66,116,20,7,6,42,7,2,47,95,0.276,0.346,0.399,0.745,luxga01
Daniel Lynch*,25,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,lynchda02
Dixon Machado,30,SFG,NL,5,17,15,1,3,0,0,0,0,0,0,1,5,0.2,0.294,0.2,0.494,machadi01
Manny Machado,29,SDP,NL,150,644,578,100,172,37,1,32,102,9,1,63,133,0.298,0.366,0.531,0.898,machama01
Vimael Machin*,28,OAK,AL,73,253,223,26,49,12,0,1,13,1,1,25,47,0.22,0.3,0.287,0.587,machivi01
David MacKinnon,27,TOT,AL,22,57,50,2,7,0,0,0,6,0,0,6,17,0.14,0.228,0.14,0.368,mackida01
David MacKinnon,27,LAA,AL,16,43,37,0,7,0,0,0,6,0,0,5,12,0.189,0.279,0.189,0.468,mackida01
