"app_ID","dept","sex","un_gpa","admit"
1,"D","M",3.4161815414319,"Y"
2,"F","M",3.71162991349475,"N"
3,"B","M",3.33106092553703,"N"
4,"F","F",3.71660374073146,"N"
5,"F","F",3.73369049433166,"N"
6,"E","F",3.52482178088065,"N"
7,"F","M",3.73038652020761,"N"
8,"F","M",3.7314348330543,"N"
9,"F","M",3.75613352359996,"N"
10,"C","F",3.26164738788903,"N"
11,"F","F",3.78447661564428,"N"
12,"F","M",3.76556050328847,"N"
13,"F","M",3.79410217664581,"N"
14,"F","M",3.66293106219038,"N"
15,"F","M",3.72195841875162,"N"
16,"A","M",3.04451250539778,"Y"
17,"F","F",3.68774413059285,"N"
18,"F","M",3.66356506379726,"N"
19,"F","M",3.69074559311721,"N"
20,"F","F",3.64031856852334,"N"
21,"C","F",3.27707761713018,"Y"
22,"F","F",3.80060989027467,"N"
23,"F","F",3.71038583060376,"N"
24,"D","M",3.48107846187012,"Y"
25,"C","F",3.46257157894578,"N"
26,"F","F",3.76374698121451,"N"
27,"D","F",3.24648346366356,"N"
28,"F","M",3.74506903409593,"N"
29,"C","F",3.33130551115693,"N"
30,"E","F",3.57729548428786,"N"
31,"F","M",3.75550468187604,"N"
32,"E","F",3.63094818943443,"N"
33,"F","M",3.70997873206912,"N"
34,"F","M",3.69166721382467,"N"
35,"D","F",3.127971498877,"N"
36,"F","M",3.79074582191755,"N"
37,"D","M",3.35746104834071,"Y"
38,"D","F",3.18445123409865,"N"
39,"F","M",3.69861689737456,"N"
40,"B","M",3.26776824449712,"N"
41,"F","M",3.71562217420497,"N"
42,"F","F",3.725931756464,"N"
43,"A","M",3.35799542850294,"Y"
44,"F","M",3.88065204404649,"Y"
45,"F","F",3.69948482274324,"N"
46,"F","F",3.71406794598683,"N"
47,"D","F",3.51076522058921,"Y"
48,"F","M",3.68507299089821,"N"
49,"F","M",3.73516170551043,"N"
50,"B","F",3.26509714343566,"Y"
51,"E","M",3.47239267010925,"N"
52,"E","M",3.49645483171534,"Y"
53,"D","M",3.39282268910775,"N"
54,"D","M",3.20803144612176,"N"
55,"F","M",3.67081227855228,"N"
56,"F","M",3.61544258827292,"N"
57,"B","F",3.06365076071913,"N"
58,"F","F",3.75410607633138,"N"
59,"F","M",3.79716030846911,"N"
60,"A","M",3.43410736929417,"N"
61,"B","M",3.25776899818453,"Y"
62,"F","M",3.74279928156018,"N"
63,"B","M",3.10292112911,"Y"
64,"F","M",3.76331416220902,"N"
65,"F","F",3.5852560638252,"N"
66,"F","M",3.78119346853375,"Y"
67,"D","F",3.50962398801302,"Y"
68,"F","F",3.63992669280662,"N"
69,"F","F",3.75730958732181,"N"
70,"B","M",3.28712802599933,"N"
71,"F","F",3.79362556891019,"N"
72,"F","M",3.71567216441422,"N"
73,"F","M",3.68572942048207,"N"
74,"C","M",3.49764656632441,"Y"
75,"F","M",3.66266717042707,"N"
76,"F","F",3.67429894713316,"N"
77,"A","M",3.34801187644246,"Y"
78,"E","F",3.76143409970924,"Y"
79,"F","F",3.67862664319157,"N"
80,"A","M",3.20775805848532,"N"
81,"F","M",3.71052871520884,"N"
82,"F","M",3.76457737820815,"N"
83,"B","M",3.0747554766396,"N"
84,"E","M",3.68539607357771,"N"
85,"F","M",3.62982630779092,"N"
86,"F","F",3.68394996723084,"N"
87,"F","M",3.68488965669177,"N"
88,"F","F",3.78944129159729,"N"
89,"E","M",3.60288903713259,"Y"
90,"E","M",3.46625198228831,"N"
91,"F","M",3.73451244898458,"N"
92,"A","M",3.14643427762409,"N"
93,"C","F",3.24198097207827,"Y"
94,"E","M",3.77679256964174,"Y"
95,"F","M",3.7065815363654,"N"
96,"D","M",3.253620827246,"N"
97,"F","F",3.73023253841041,"Y"
98,"F","M",3.68871118414279,"N"
99,"F","F",3.7709511750059,"N"
100,"F","M",3.71564704935225,"N"
101,"F","M",3.72408500162132,"N"
102,"F","F",3.79678194566421,"N"
103,"A","M",3.03542124763326,"Y"
104,"F","M",3.70236326380085,"N"
105,"F","M",3.6913733485129,"N"
106,"D","F",3.37504646749072,"Y"
107,"F","M",3.79985320307124,"N"
108,"F","F",3.78125161370374,"N"
109,"F","F",3.70110716026388,"N"
110,"A","M",2.66596269567271,"N"
111,"F","F",3.72281239555568,"N"
112,"C","F",3.34431652552642,"Y"
113,"F","M",3.69738874058299,"N"
114,"C","F",3.22017202069068,"Y"
115,"E","F",3.51917704145514,"Y"
116,"E","M",3.50749967910372,"N"
117,"E","F",3.74265921628665,"Y"
118,"F","F",3.7054423482103,"N"
119,"D","M",3.48589485011767,"Y"
